project_name,id,chain_id,round_id,application_id,voter,recipient_address,project_id,transaction_hash,block_number,token_address,amountUSD
$EARTH - Oss,0x252f2c2099899c5aeb2af734205394155bc03716a30e2e95c208f04f2fedd7dd,42161,25,190,0x5a9d68c871325979b16dab50acff1f9ebfa9ab3f,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x48aaf49e78d5d0050fe3f84c9988e41b2c2b7bf63b3ebb97a853ccc44d8a0785,206894173,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0.99917364
$EARTH - Oss,0x3a875bb52fb03f5f8de581d9c97c7baf6655e6f71b92f45c2ddde7c5824e5f04,42161,25,190,0xfcdb212e7e7588d2dd2cc44c30f6c79fb507db4b,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x4f417c5cbceef97ba0324f3774d14d963febc14076925f006223b31e774f75f1,206900477,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6.0007906
$EARTH - Oss,0xa2121bc53545d3e390cc52eeffc37abb50d8271ff3f345385038f46906d20b8e,42161,25,190,0xacd59e854adf632d2322404198624f757c868c97,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x58f539d70821ea03fa62f1ad5ba01ae006c184130b05826395a0270d22221bbd,207227144,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.0777807
$EARTH - Oss,0x97e950dbdc5757dad84162b7fe61d1cea5eed6849d733c9fe305b0167aca579b,42161,25,190,0x468fd68b81475ac46d00f491bfa52ef8aaa17e97,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x17274646e636459732661a66b1963f1681fb68583b9f0e87813eafb92bb3d03e,207605382,0xaf88d065e77c8cc2239327c5edb3a432268e5831,1.0104859
$EARTH - Oss,0xc035122ff248900cc893555d01637f56231f9e1ecb42651e09541f063f49fe95,42161,25,190,0x11f05c891ecdb844ccf5f8fe8850c332a9dff049,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x7e0c5659c1a8b020efa7b64d48a7e0d6bd04b090f61d305c9bf1c7303b8d4dc7,207860662,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.03124336
$EARTH - Oss,0xa6ff3e0ee79bcddc9ef376380a1187bd2b5e72fd93a6e9d4c4320a2637b234be,42161,25,190,0xdb7a41e39807e8c988859f150296db92674b7dc7,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x00b5c0430d405580fbba1b8bc12d84382768f230472d965b1c42fd3b40f7c98c,207988314,0xaf88d065e77c8cc2239327c5edb3a432268e5831,1.0008653
$EARTH - Oss,0x21e0eb50ff83d6bcb68ddfe6937e5aff38922253234fe3c4804abfd07876f71b,42161,25,190,0x7f722b8b013ac7bd654b3b102acc7573a32db9bc,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0xbe377718d6cda53d029c51e68c110898eb09226568611065bf3b2c058d853877,208446806,0x912ce59144191c1204e64559fe8253a0e49e6548,3.2969496
$EARTH - Oss,0x073dc5a93f85535ad578a578bf31d89e3aac4619dd6d0781b59c51e928b52d83,42161,25,190,0x58ce6fc03561961c9947ba1ffffb9146bc75d903,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x28aaa514f3753e074951e8df48ffcba30e027cb072c7dde7b7c98e98baea899b,208750321,0x912ce59144191c1204e64559fe8253a0e49e6548,1.0728749
$EARTH - Oss,0x5ebab52f0cc1e894ec4fbcd15340feab08d3b6097b410c06ca8ee886bc3fe8c0,42161,25,190,0x461acd846b4cc249b96242f1ab7c72a39d94747c,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x96a830d83be6de1a01034abf726d4781b8478924f35a71b17f570a5f37f96004,208805542,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.2302042
$EARTH - Oss,0x2a5c8a6287d9e485251132c9591735769a450407f1597d151e57a3602a095f29,42161,25,190,0x79c2d72552df1c5d551b812eca906a90ce9d840a,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0x8d964f5cb7d4fab8679899ef93e7ba78cd21094121865d7aa478e14ff8cc636a,208849382,0xaf88d065e77c8cc2239327c5edb3a432268e5831,1.4990841
$EARTH - Oss,0x1312946eea8b7199d8d7dfcf325bc74d349050b8d2a27204b17231a6d00294df,42161,25,190,0x0f76c39f10d6e04bd0ba9ed171c7343ebf9748bd,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0xcb0270924e3b6ff9adc3c267b7e4f22e040f6a31a534a354ebd6017b7965f107,208880936,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.2238255
$EARTH - Oss,0xbc3e1bbc9f294d8a7a928e16207d145d3e2da353b91fde7c7dbc50ad6d6be770,42161,25,190,0xca63608615de005339652c0eca93c5836eb0c2bd,0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0xa1419ab82ab66ad6678b8fc1ca5bfced15bd9525ed172743e2da5ea12d3cfdbd,208897079,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.2187095
